,contribution,class_label,label_code,glove_classification,glove_label,ann_classification,ann_label,kmeans_cluster,x_axis,y_axis,partition
86,coupled and analyzed different datasets of the study,Formal analysis,2,2,Formal analysis,2,Formal analysis,6,2.751906383719946,-0.08101775153682106,training
87,prepared  the manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,1,0.7345257737810551,-1.8781981925688807,training
88,read manuscript,Sonstiges,10,10,Sonstiges,10,Sonstiges,7,-0.4493090982434505,-0.44134740457730703,training
89,contributed equally to development of the project and the writing of the manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,6,2.8395715997724627,-0.10529142299435365,training
90,discussed findings,Investigation,4,4,Investigation,4,Investigation,7,-0.5420033874264324,-0.39915160371105324,training
91,designed task,Sonstiges,10,10,Sonstiges,10,Sonstiges,7,-0.5658009695966879,-0.4150754656819504,training
92,agree to be accountable for all aspects of the work,Sonstiges,10,10,Sonstiges,10,Sonstiges,5,0.4649869241168274,-1.6001506382834034,training
93,conceptualized experiments,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,8,-0.4625688079665526,-0.3953620195961385,training
94,take responsibility for the integrity of the data and the accuracy of the data analysis,Supervision,11,11,Supervision,11,Supervision,16,3.5484613600930603,1.2682387155202903,training
95,visualized results,Visualization / Visualisation,14,14,Visualization / Visualisation,14,Visualization / Visualisation,7,-0.5434845694357519,-0.3958581901839189,training
96,Organized a neighborhood cleanup event,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.116401903138063,1.283559132578891,training
97,Taught a child to ride a bike,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.079201435015777,1.2608816043432511,training
98,Created a DIY home decor project,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.1312107572513592,1.2901254524586416,training
99,were major contributors in writing the manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,1,0.8426042204769213,-1.83706395191343,training
100,helped to refine the method,Methodology,5,5,Methodology,5,Methodology,1,0.7439335574778814,-1.9693228352809926,training
101,conceptualised project,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.551223302195847,-0.42441322472458826,training
102,implemented the methods in code,Methodology,5,5,Methodology,5,Methodology,1,0.7534317045235983,-1.8350158590150858,training
103,assisted analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5249218126060881,-0.3840743991509382,training
104,analyzed user hormone trends,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5500805390969464,-0.40017106089989907,training
105,Created a personalized playlist for a road trip,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.4019175423894312,1.587451240094692,training
106,Decorated your living room,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.551150759620063,-0.3981190861515581,training
107,conducted graph analysis,Visualization / Visualisation,14,14,Visualization / Visualisation,14,Visualization / Visualisation,7,-0.5267115412124819,-0.397756854822791,training
108,designed data analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,0.524938718745187,0.6623690784569122,training
109,performed modelling,Methodology,5,5,Methodology,5,Methodology,7,-0.5427238618772756,-0.40147806888642956,training
110,Painted a mural on your bedroom wall,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.077587115582302,1.2602050986033646,training
111,performed the COLOC expression analyses,Formal analysis,2,2,Formal analysis,2,Formal analysis,1,0.7238837420154153,-1.853952021432496,training
112,Learned to knit or crochet,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5547006304476269,-0.3898202903951194,training
113,analysed genetic information,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5378236637497938,-0.4039135245504527,training
114,conceived the VAP-SIRS model,Methodology,5,5,Methodology,5,Methodology,1,0.7574617687122807,-1.9484746242879716,training
115,designed the work and analyses,Formal analysis,2,2,Formal analysis,2,Formal analysis,6,2.7082766791951074,-0.08895176926938698,training
116,supervised study,Project administration,7,7,Project administration,7,Project administration,7,-0.5374409881949942,-0.39693659622831096,training
117,analysed the MIC data,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,1.769282704032303,-0.7922222226550667,training
118,gave final approval for publication,Supervision,11,11,Supervision,11,Supervision,5,-0.8044874435717292,-0.1360923757371012,training
119,provided TVB data,Resources,8,8,Resources,8,Resources,2,0.5155955543350935,0.6500324410739187,training
120,examined calculation results in an alternative solution algorithm,Validation,13,13,Validation,13,Validation,7,-0.5411048031488712,-0.3909791793704446,training
121,contributed to the topic,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,1,0.7555840285409821,-1.784833801373754,training
122,participated in all outdoor samplings and development of methods,Resources,8,8,Resources,8,Resources,10,1.553120377074206,1.4494789622107933,training
123,contributed to the study conception and design,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,6,2.837878946964722,-0.021404144241450266,training
124,"contributed to data extraction, coding, and evaluation of included studies",Sonstiges,10,10,Sonstiges,10,Sonstiges,16,2.6327991445181116,2.5236731290994894,training
125,aquire data,Data curation,1,1,Data curation,1,Data curation,2,0.5004278540787371,0.6413360634399766,training
126,led data collection activities,Data curation,1,1,Data curation,1,Data curation,2,0.5313372745414009,0.5977732988784414,training
127,secured funding for research,Funding acquisition,3,3,Funding acquisition,3,Funding acquisition,5,-0.8709715848803729,-0.2146156578389451,training
128,provided feedback during work development,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.5174758157254126,-0.38816853236782217,training
129,provided input on the data and experimental design,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,16,3.8731113878128256,0.982871330908296,training
130,contributed to data processing,Data curation,1,1,Data curation,1,Data curation,2,0.5855211401083874,0.7160183260693973,training
131,marked clips of data to be used,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,0.5163800939724696,0.6379000125946187,training
132,Planned a day trip to a nearby city,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.086425487072856,1.267599882066391,training
133,helped interpret results,Investigation,4,4,Investigation,4,Investigation,7,-0.5140381242943579,-0.5093527938879121,training
134,designed & performed NPC experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.4593778680182209,-0.39866435446062337,training
135,efficiency of user interface,Software,9,9,Software,9,Software,7,-0.5481930035455114,-0.4085341276999118,training
136,provided data analysis,Resources,8,8,Resources,8,Resources,2,0.5391480702164231,0.667832634656392,training
137,Organized a charity fundraiser,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.16689724829982,1.3335031168675917,training
138,verified the identifiable participant data,Data curation,1,1,Data curation,1,Data curation,2,1.8656968675682295,-0.7602245835022716,training
139,assisted some experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.4623529945659484,-0.4079662092562017,training
140,involved design of the study,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,1,0.7099642882443562,-1.8217738967820527,training
141,for knowledge graph quality check,Visualization / Visualisation,14,14,Visualization / Visualisation,14,Visualization / Visualisation,5,-0.8276260577167014,-0.14595960002794792,training
142,Sewed a new dress for yourself,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.3652668827607743,1.5437720401216346,training
143,wrote programm,Software,9,9,Software,9,Software,7,-0.6777131587486158,-0.2551879681933846,training
144,collected samples,Resources,8,8,Resources,8,Resources,7,-0.5379473814197863,-0.37881450136411515,training
145,performed research,Investigation,4,4,Investigation,4,Investigation,7,-0.5974305416494348,-0.48808693096613287,training
146,organized the data,Formal analysis,2,2,Formal analysis,2,Formal analysis,2,1.7066607461977947,-0.7579004856684023,training
147,supervised research,Supervision,11,11,Supervision,11,Supervision,7,-0.5986675676700106,-0.4807170992798017,training
148,conceived experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.46206598475325106,-0.39593516829267317,training
149,"formulated the research question,",Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,1,0.6453771295174152,-1.9191318721712254,training
150,wrote manuscript draft,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,7,-0.6378697673458464,-0.2914869821774291,training
151,contributed with conceptual input on methods and/or interpretation of results,Investigation,4,4,Investigation,4,Investigation,10,1.590815350604585,1.436509392032749,training
152,revised paper,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,0,-0.546262565353153,-0.491011533309662,training
153,designed survey,Investigation,4,4,Investigation,4,Investigation,7,-0.5424151864973269,-0.38834921118416027,training
154,performed  analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5190747460444367,-0.3835057230801925,training
155,was responsible for formal analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,5,-0.7721866641339652,-0.10937293072399608,training
156,for critical discussion on constructing iBKH,Investigation,4,4,Investigation,4,Investigation,5,-0.7886843149014654,-0.11923514921747609,training
157,conducted most of the animal/cell experiments,Investigation,4,4,Investigation,4,Investigation,8,0.7943200901721506,-1.8385433751232927,training
158,performed statistical analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5175767150546724,-0.41013362998709324,training
159,read and approved the final manuscript,Supervision,11,11,Supervision,11,Supervision,6,2.834350722958952,-0.12439445714455964,training
160,implemented simulations,Software,9,9,Software,9,Software,7,-0.5094748958351333,-0.42239987999518763,training
161,Started a podcast on a topic you love,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.238328901928577,1.4126710258003539,training
162,Wrote a thank-you letter to a mentor,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.2371642708657613,1.4246801705066454,training
163,designed software package,Software,9,9,Software,9,Software,11,-0.5301646756148849,-0.40416470143482136,training
164,Learned to play chess,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5471841877024242,-0.39623033189311624,training
165,"contributed to Conceptualization, Methodology, Data Acquisition, Formal analysis, Visualization, Writing - original draft, Writing - review & editing",Sonstiges,10,10,Sonstiges,10,Sonstiges,2,0.7077406346972921,0.819848695241413,training
166,prototyped algorithms,Software,9,9,Software,9,Software,7,-0.5504423370637678,-0.39841514896176616,training
167,contributed to methodology,Methodology,5,5,Methodology,5,Methodology,12,-0.48563840677114345,-0.3574401410557317,training
168,Volunteered at a homeless shelter,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.102682163756789,1.2723810851957003,training
169,added new considerations in the text content and discussions,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,6,2.766691272610718,-0.10248486830372476,training
170,performed  literatur review,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.547364246353788,-0.40494077184134375,training
171,assisted with analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5249294878107854,-0.3840656666964464,training
172,assisted staining,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5305788476814757,-0.40068336419289197,training
173,supported sequencing ,Sonstiges,10,10,Sonstiges,10,Sonstiges,7,-0.5495873195142769,-0.3978436716385817,training
174,performed in silico analysis,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5120979340549288,-0.3736485573620612,training
175,revised manuscript,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.5150462182315327,-0.45878309406188367,training
176,coordinated recruitment of,Project administration,7,7,Project administration,7,Project administration,7,-0.5298326655900739,-0.3837884590483954,training
177,prepared tables,Visualization / Visualisation,14,14,Visualization / Visualisation,14,Visualization / Visualisation,7,-0.5480684005275785,-0.4168579155832527,training
178,for knowledge graph embedding algorithms,Software,9,9,Software,9,Software,5,-0.830508984937499,-0.14843324775371325,training
179,provided important critical revisions,Writing - review & editing,16,16,Writing - review & editing,16,Writing - review & editing,7,-0.5113398743689727,-0.379723618879005,training
180,Case and control recruitment and characterization,Sonstiges,10,10,Sonstiges,10,Sonstiges,10,1.472683384702743,1.3770386651244408,training
181,determined gene and protein expression,Formal analysis,2,2,Formal analysis,2,Formal analysis,10,1.5107226010189765,1.3695531573849662,training
182,drafted paper,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,0,-0.5388243365211861,-0.46473018590692144,training
183,approved manuscript prior to submission,Supervision,11,11,Supervision,11,Supervision,7,-0.46739710044906807,-0.4501250587116557,training
184,conceived and designed the resting-state computational experiments,Investigation,4,4,Investigation,4,Investigation,6,2.8092323273502577,-0.0756558772605615,training
185,Planned a birthday party for a friend,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.3610150319340986,1.5358342176589312,training
186,directed theorethical aspects of the projekt,Project administration,7,7,Project administration,7,Project administration,1,0.7155595926648334,-1.8922697113101254,training
187,was responsible for the drafting of manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,5,0.48717794086670085,-1.6055374687652917,training
188,planned analysis,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5241648654979612,-0.3719908289582698,training
189,were responsible for the study conception and design,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,6,2.5543369520441384,0.24911545714232816,training
190,designed the analysis plan,Supervision,11,11,Supervision,11,Supervision,1,0.7241558657686226,-1.7988891903515238,training
191,developed mathematics,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5401097095594706,-0.3948113411011384,training
192,tested statistic,Validation,13,13,Validation,13,Validation,7,-0.5506168891260732,-0.4004858019668028,training
193,interpreted results,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5434013565185856,-0.3951891769323164,training
194,were responsible for experiments and data analysis,Investigation,4,2,Formal analysis,2,Formal analysis,16,2.3784540846005284,2.7047937605472203,training
195,generated experimental data,Resources,8,8,Resources,8,Resources,13,0.5477118488562776,0.614668828329989,training
196,retrieved MIC data,Data curation,1,1,Data curation,1,Data curation,2,0.5264401059055351,0.6371459551549736,training
197,designed the R package structure,Software,9,9,Software,9,Software,1,0.7066277660025463,-1.8337708863343707,training
198,built the decision-analytical model,Methodology,5,5,Methodology,5,Methodology,1,0.7546453042461796,-1.922810359477264,training
199,assisted with experimental design,Sonstiges,10,10,Sonstiges,10,Sonstiges,13,-0.49549586143558966,-0.4257243102700502,training
200,created concept of project,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5797174389647505,-0.3500173019922145,training
201,led the effort on web interface implementation,Software,9,9,Software,9,Software,1,0.7362716358502847,-1.8757819275760033,training
202,designed research,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,7,-0.5966431211830447,-0.4744425503518341,training
203,provided main text for the section,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,5,0.4510701252288873,-1.5470385920880443,training
204,"created, extracted and organised the imaging and clinical data",Formal analysis,2,2,Formal analysis,2,Formal analysis,16,3.755027901233558,1.0075476853048593,training
205,contributed to data extraction and pre-processing,Formal analysis,2,2,Formal analysis,2,Formal analysis,16,2.599742089855994,2.4818362699381287,training
206,analyzed transcriptomic,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5436330208140847,-0.3930472700623373,training
207,wrote manuscript,Writing - original draft,15,15,Writing - original draft,15,Writing - original draft,7,-0.6378182181910851,-0.29131671537116877,training
208,assisted with staining,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5305865228861726,-0.40067463173839996,training
209,Volunteered at an animal shelter,Other - not related,6,6,Other - not related,6,Other - not related,7,-0.5700090113701197,-0.3708302966131018,training
210,carried out sequencing of libraries,Resources,8,8,Resources,8,Resources,7,-0.5593951679599639,-0.503937748601152,training
211,Hosted a movie night with friends,Other - not related,6,6,Other - not related,6,Other - not related,3,-2.1558416455835885,1.3504395784653198,training
212,approved final version to be published,Supervision,11,11,Supervision,11,Supervision,7,-0.4695838050206361,-0.42284707870561566,training
213,developed model,Methodology,5,5,Methodology,5,Methodology,7,-0.4900448594120491,-0.48386332811562704,training
214,Collected and processed,Resources,8,8,Resources,8,Resources,10,1.472313598411052,1.3793175937708737,training
215,provided useful suggestions for the evaluation,Resources,8,8,Resources,8,Resources,5,0.452881816989268,-1.5467509655159213,training
216,contributed to mathematical derivations,Formal analysis,2,2,Formal analysis,2,Formal analysis,12,-0.4940583950322997,-0.36686783542834517,training
217,carried out all central tissue immunostaining,Investigation,4,4,Investigation,4,Investigation,7,-0.5450039755658207,-0.49471355053919763,training
218,provided reagents,Resources,8,8,Resources,8,Resources,7,-0.5272419984658522,-0.38171153256445406,training
219,conducted drug target prioritisation,Project administration,7,7,Project administration,7,Project administration,7,-0.5534973817531376,-0.4150914254382798,training
220,contributed to conceptualization,Conceptualization / Conceptualisation,0,0,Conceptualization / Conceptualisation,0,Conceptualization / Conceptualisation,12,-0.4845310545901412,-0.3422989689779403,training
221,contributed to study design,Sonstiges,10,10,Sonstiges,10,Sonstiges,12,-0.4743650374003805,-0.3591987795115867,training
222,Wrote a guidebook for your city,Other - not related,6,6,Other - not related,6,Other - not related,14,-2.4818712887820804,1.6643090717245734,training
223,assisted experiments,Investigation,4,4,Investigation,4,Investigation,8,-0.4671238662418596,-0.4042964120610643,training
224,contributed to data extraction and pre-processing,Formal analysis,2,2,Formal analysis,2,Formal analysis,16,2.599742089855994,2.4818362699381287,training
225,conducted celluar assays,Formal analysis,2,2,Formal analysis,2,Formal analysis,7,-0.5441847570273664,-0.40429980573942464,training
